对象/模块,字段/能力,类型,必填,说明,来源依据,状态
客户详情,关联线索数（详情）,文本,否,该客户下线索总数,详情页,已整理
客户详情,来源站点数,文本,否,涉及来源站点数量,详情页,已整理
客户详情,负责人（详情）,人员,否,客户当前负责人,详情页,已整理
客户详情,公司名称,文本,否,客户企业名称,详情页,已整理
客户详情,国家/地区（详情）,地址,否,客户所在国家,详情页,已整理
客户详情,行业（详情）,枚举,否,客户所属行业,详情页,已整理
客户详情,官网,文本,否,客户企业官网,详情页,已整理
客户详情,联系方式,文本,否,主要联系人电话和邮箱合并,详情页,已整理
客户详情,创建时间（详情）,日期,否,客户创建时间,详情页,已整理
客户详情,客户标签（详情）,文本,否,客户级别标签支持管理,详情页,已整理
客户详情,联系人姓名（客户）,文本,是,联系人姓名,页面表单,已整理
客户详情,联系人职位（客户）,文本,否,联系人职位,页面表单,已整理
客户详情,联系人邮箱（客户）,邮箱,否,联系人邮箱,页面表单,已整理
客户详情,联系人电话（客户）,电话,否,联系人电话,页面表单,已整理
客户详情,联系人WhatsApp,电话,否,联系人WhatsApp,页面表单,已整理
客户详情,联系角色,枚举,否,决策人采购经理执行联系人关键联系人其他,页面表单,已整理
客户详情,主要联系人（详情）,布尔,否,仅可设置一位,页面表单,已整理
客户详情,AI识别标记,布尔,否,由系统自动归集只读展示,详情页,已整理
合同中心,合同编号,文本,否,按合同编号搜索,查询条件,已整理
合同中心,客户名称,文本,否,搜索客户名称或邮箱,查询条件,已整理
合同中心,签约日期,日期,否,按签约日期范围筛选,查询条件,已整理
合同中心,合同状态,枚举,否,按合同状态筛选,查询条件,已整理
合同中心,负责人（合同）,人员,否,按合同负责人筛选,查询条件,已整理
合同中心,合同编号（列表）,文本,否,合同唯一编号点击跳转详情,列表字段,已整理
合同中心,合同名称,文本,否,合同名称,列表字段,已整理
合同中心,客户（列表）,文本,否,关联的客户名称,列表字段,已整理
合同中心,金额,金额,否,含币种符号,列表字段,已整理
合同中心,签约日期（列表）,日期,否,合同签约日期YYYY-MM-DD,列表字段,已整理
合同中心,合同状态（列表）,枚举,否,彩色徽章展示,列表字段,已整理
合同中心,负责人（列表）,人员,否,关联线索负责人,列表字段,已整理
合同中心,合同编号（表单）,文本,是,人工录入系统不自动生成,页面表单,已整理
合同中心,合同名称（表单）,文本,是,合同名称,页面表单,已整理
合同中心,客户（表单）,文本,是,下拉搜索选择有权限客户,页面表单,已整理
合同中心,关联线索,文本,否,可选该客户下线索非必填,页面表单,已整理
合同中心,金额（表单）,金额,是,数字输入合同金额,页面表单,已整理
合同中心,币种,枚举,是,默认美元含美元人民币欧元英镑,页面表单,已整理
合同中心,签约日期（表单）,日期,是,默认今日可修改,页面表单,已整理
合同中心,合同状态（表单）,枚举,是,默认已签约可修改,页面表单,已整理
合同详情,合同编号（详情）,文本,否,合同唯一编号,详情页,已整理
合同详情,合同名称（详情）,文本,否,合同名称,详情页,已整理
合同详情,合同状态（详情）,枚举,否,彩色徽章终态只读,详情页,已整理
合同详情,负责人（详情）,人员,否,按决策归属,详情页,已整理
合同详情,客户（详情）,文本,否,关联客户名称点击跳转,详情页,已整理
合同详情,关联线索（详情）,文本,否,关联线索编号点击跳转,详情页,已整理
合同详情,金额（详情）,金额,否,合同金额含币种,详情页,已整理
合同详情,签约日期（详情）,日期,否,合同签约日期,详情页,已整理
合同详情,创建时间（详情）,日期,否,合同创建时间,详情页,已整理
销售经营,时间快捷选项,枚举,否,今日本周本月本季度自定义,查询条件,已整理
销售经营,站点（经营）,枚举,否,按站点过滤管理员可见,查询条件,已整理
销售经营,线索总数,文本,否,线索总量较上期变化和目标达成率,详情页,已整理
销售经营,新增线索（经营）,文本,否,新增线索数和年度目标完成率,详情页,已整理
销售经营,成交金额（经营）,金额,否,累计成交金额和较上期变化,详情页,已整理
销售经营,线索转化率,文本,否,转化率和行业平均水平对比,详情页,已整理
销售经营,排名,文本,否,1至10名销售排行榜,列表字段,已整理
销售经营,业务员,人员,否,姓名和所属团队,列表字段,已整理
销售经营,线索数量（排行）,文本,否,负责的线索总数,列表字段,已整理
销售经营,跟进数,文本,否,跟进记录总数,列表字段,已整理
销售经营,转客户数,文本,否,转客户数量,列表字段,已整理
销售经营,成交金额（排行）,金额,否,合同累计金额,列表字段,已整理
销售经营,目标达成,文本,否,实际成交占个人目标百分比,列表字段,已整理
获客分析,时间快捷选项（获客）,枚举,否,今日本周本月本季度自定义,查询条件,已整理
获客分析,站点（获客）,枚举,否,按站点过滤管理员可见,查询条件,已整理
获客分析,消息总量,文本,否,渠道统计周期内消息总数,详情页,已整理
获客分析,AI识别数量,文本,否,经AI识别处理的消息数量,详情页,已整理
获客分析,有效消息比例,文本,否,有效消息占消息总量百分比,详情页,已整理
获客分析,增长,文本,否,较上一周期消息量增长率,详情页,已整理
获客分析,站点名称（获客）,文本,否,来源站点名称,列表字段,已整理
获客分析,渠道,枚举,否,邮件WhatsApp混合标识,列表字段,已整理
获客分析,消息数量（站点）,文本,否,该站点消息总数,列表字段,已整理
获客分析,线索数量（站点）,文本,否,该站点生成线索总数,列表字段,已整理
获客分析,转化率,文本,否,线索占消息数量百分比,列表字段,已整理
获客分析,成交金额（站点）,金额,否,该站点关联合同总金额,列表字段,已整理
客户经营,时间范围（经营）,日期,否,控制图表数据范围默认本年,查询条件,已整理
客户经营,站点（经营）,枚举,否,按站点过滤管理员可见,查询条件,已整理
客户经营,客户总数,文本,否,客户总量和较上期增长率,详情页,已整理
客户经营,新增客户（经营）,文本,否,本月新增客户数和增长率,详情页,已整理
客户经营,成交客户,文本,否,有签约合同的客户数量,详情页,已整理
客户经营,客户增长率,文本,否,客户增长率和趋势描述,详情页,已整理
站点管理,站点关键词,文本,否,按站点名称或编码搜索,查询条件,已整理
站点管理,站点名称（列表）,文本,否,站点名称,列表字段,已整理
站点管理,站点编码,文本,否,站点唯一编码不可重复,列表字段,已整理
站点管理,域名,文本,否,站点官网地址,列表字段,已整理
站点管理,接口状态,枚举,否,消息拉取接口正常或异常,列表字段,已整理
站点管理,最近拉取时间,日期,否,最近消息拉取时间和条数,列表字段,已整理
站点管理,创建时间（站点）,日期,否,站点创建时间,列表字段,已整理
站点管理,站点名称（表单）,文本,是,站点名称,页面表单,已整理
站点管理,站点编码（表单）,文本,是,唯一编码不可重复,页面表单,已整理
站点管理,域名（表单）,文本,是,站点官网地址,页面表单,已整理
站点管理,联系邮箱（站点）,邮箱,否,站点联系邮箱,页面表单,已整理
站点管理,WhatsApp（站点）,电话,否,站点WhatsApp账号,页面表单,已整理
站点详情,站点名称（详情）,文本,否,大号字体显示,详情页,已整理
站点详情,站点编码（详情）,文本,否,标签形式展示名称右侧,详情页,已整理
站点详情,状态徽章,枚举,否,启用或停用状态,详情页,已整理
站点详情,线索总数（站点）,文本,否,该站点下线索总数量,详情页,已整理
站点详情,客户总数（站点）,文本,否,该站点下客户总数量,详情页,已整理
站点详情,合同总数（站点）,文本,否,该站点下合同总数量,详情页,已整理
站点详情,域名（详情）,文本,否,站点官网地址,详情页,已整理
站点详情,联系邮箱（详情）,邮箱,否,站点联系邮箱,详情页,已整理
站点详情,WhatsApp（详情）,电话,否,站点WhatsApp账号,详情页,已整理
站点详情,创建时间（详情）,日期,否,站点创建时间,详情页,已整理
站点详情,状态（详情）,枚举,否,启用或停用,详情页,已整理
站点详情,配置摘要,文本,否,阶段数公海AI系统规则开关,详情页,已整理
站点配置,联系邮箱,邮箱,否,站点联系邮箱支持多个分号分隔,页面表单,已整理
站点配置,WhatsApp（配置）,电话,否,站点WhatsApp账号,页面表单,已整理
站点配置,阶段名称,文本,是,阶段显示名称,页面表单,已整理
站点配置,触发高意向,布尔,否,开关进入该阶段自动变高意向,页面表单,已整理
站点配置,排序,文本,否,阶段顺序编号,页面表单,已整理
站点配置,启用自动回收,布尔,否,开关开启定时任务自动回收,页面表单,已整理
站点配置,回收超时时长,文本,是,线索无跟进天数阈值默认7天,页面表单,已整理
站点配置,启用AI识别,布尔,否,开关关闭仅依赖系统规则,页面表单,已整理
站点配置,规则名称,文本,是,关键词识别规则名称,页面表单,已整理
站点配置,关键词,文本,是,匹配关键词回车添加,页面表单,已整理
站点配置,匹配逻辑,枚举,是,包含任一或包含全部,页面表单,已整理
站点配置,优先级,文本,是,数字越大优先级越高,页面表单,已整理
站点配置,规则状态,枚举,是,启用或停用,页面表单,已整理
用户管理,用户关键词,文本,否,按姓名账号手机号邮箱搜索,查询条件,已整理
用户管理,状态（用户）,枚举,否,按启用停用状态筛选,查询条件,已整理
用户管理,姓名（列表）,文本,否,用户姓名,列表字段,已整理
用户管理,登录账号,文本,否,系统登录账号唯一,列表字段,已整理
用户管理,手机号（列表）,电话,否,用户手机号,列表字段,已整理
用户管理,邮箱（列表）,邮箱,否,用户邮箱,列表字段,已整理
用户管理,角色,文本,否,所属角色,列表字段,已整理
用户管理,所属站点（列表）,文本,否,已授权的站点,列表字段,已整理
用户管理,状态（列表）,枚举,否,启用或停用,列表字段,已整理
用户管理,姓名（表单）,文本,是,用户姓名,页面表单,已整理
用户管理,登录账号（表单）,文本,是,唯一不可重复,页面表单,已整理
用户管理,手机号（表单）,电话,否,用户手机号,页面表单,已整理
用户管理,邮箱（表单）,邮箱,否,用户邮箱,页面表单,已整理
用户管理,角色（表单）,枚举,是,从角色列表中选择,页面表单,已整理
用户管理,所属站点（表单）,枚举,是,可授权多个站点,页面表单,已整理
用户管理,状态（表单）,枚举,是,启用或停用,页面表单,已整理
系统日志,时间范围（日志）,日期,否,按时间筛选默认最近7天,查询条件,已整理
系统日志,登录账号（搜索）,文本,否,模糊搜索登录日志账号,查询条件,已整理
系统日志,登录结果,枚举,否,按成功失败筛选,查询条件,已整理
系统日志,操作人（搜索）,文本,否,模糊搜索操作日志操作人,查询条件,已整理
系统日志,操作类型,枚举,否,新增编辑删除导出登录配置,查询条件,已整理
系统日志,业务对象,枚举,否,用户角色站点线索客户合同,查询条件,已整理
系统日志,登录时间,日期,否,精确到秒,列表字段,已整理
系统日志,登录账号（日志）,文本,否,系统账号,列表字段,已整理
系统日志,用户姓名（日志）,文本,否,用户姓名,列表字段,已整理
系统日志,登录IP,文本,否,客户端IP地址,列表字段,已整理
系统日志,登录方式,枚举,否,账号密码或钉钉扫码,列表字段,已整理
系统日志,登录结果（列表）,枚举,否,成功或失败,列表字段,已整理
系统日志,浏览器,文本,否,User-Agent解析,列表字段,已整理
系统日志,操作系统,文本,否,User-Agent解析,列表字段,已整理
系统日志,操作时间,日期,否,精确到秒,列表字段,已整理
系统日志,操作人（列表）,文本,否,操作人姓名,列表字段,已整理
系统日志,操作类型（列表）,枚举,否,新增编辑删除导出登录配置,列表字段,已整理
系统日志,业务对象（列表）,文本,否,操作的目标对象类型,列表字段,已整理
系统日志,对象名称,文本,否,操作的目标对象名称,列表字段,已整理
系统日志,操作内容,文本,否,操作详情描述,列表字段,已整理
系统日志,IP地址,文本,否,操作人IP,列表字段,已整理
系统参数,AI服务商,枚举,是,OpenAI Azure自定义下拉选择,页面表单,已整理
系统参数,模型,文本,是,gpt-4o gpt-4-turbo其他,页面表单,已整理
系统参数,API Key,文本,是,API密钥密码输入,页面表单,已整理
系统参数,API Endpoint,文本,是,API地址文本输入,页面表单,已整理
系统参数,启用AI增强能力,布尔,否,全局启用停用AI能力,页面表单,已整理
系统参数,本月用量,文本,否,已使用次数总配额次数只读,详情页,已整理
登录,登录账号,文本,是,系统分配的唯一账号,页面表单,已整理
登录,登录密码,文本,是,用户密码支持显示隐藏,页面表单,已整理
登录,记住账号,布尔,否,勾选后保存账号至本地,页面表单,已整理
我的资料,头像,图片,否,支持上传图片200x200px,页面表单,已整理
我的资料,姓名,文本,否,用户姓名可编辑,页面表单,已整理
我的资料,手机号,电话,否,用户手机号可编辑,页面表单,已整理
我的资料,邮箱,邮箱,否,用户邮箱可编辑,页面表单,已整理
账号绑定,邮箱地址,邮箱,是,绑定的邮箱账号新增时必填,页面表单,已整理
账号绑定,绑定时间,日期,否,邮箱绑定时间只读,详情页,已整理
账号绑定,WhatsApp账号,电话,是,绑定的WhatsApp账号,页面表单,已整理
修改密码,新密码,文本,是,长度不少于8位含数字和大小写字母,页面表单,已整理
修改密码,确认新密码,文本,是,再次输入与新密码一致,页面表单,已整理
登录安全,浏览器（安全）,文本,否,当前登录浏览器,详情页,已整理
登录安全,操作系统（安全）,文本,否,当前登录操作系统,详情页,已整理
登录安全,IP地址（安全）,文本,否,当前登录IP,详情页,已整理
登录安全,登录方式（安全）,枚举,否,当前登录方式,详情页,已整理
跟进记录,线索名称（跟进）,文本,否,当前线索编号和名称只读,页面表单,已整理
跟进记录,跟进方式,枚举,是,电话邮件WhatsApp会议拜访备注,页面表单,已整理
跟进记录,跟进内容,文本,是,多行文本记录跟进详细内容,页面表单,已整理
跟进记录,当前阶段,枚举,是,跟进阶段取自后台配置,页面表单,已整理
跟进记录,下次跟进时间,日期,否,默认今日加3天,页面表单,已整理
跟进记录,附件,附件,否,图片PDFWordExcel上限10MB,页面表单,已整理
编辑线索,线索编号（编辑）,文本,否,线索编号只读展示,页面表单,已整理
编辑线索,企业名称（编辑）,文本,是,线索关联企业名称,页面表单,已整理
编辑线索,联系人姓名（编辑）,文本,否,主要联系人姓名,页面表单,已整理
编辑线索,联系人邮箱（编辑）,邮箱,否,主要联系人邮箱,页面表单,已整理
编辑线索,联系人电话（编辑）,电话,否,主要联系人电话,页面表单,已整理
编辑线索,来源站点（编辑）,枚举,是,线索来源站点,页面表单,已整理
编辑线索,来源渠道（编辑）,枚举,否,线索来源渠道,页面表单,已整理
编辑线索,意向产品（编辑）,文本,否,客户感兴趣产品类目,页面表单,已整理
联系人管理,姓名（联系人）,文本,是,联系人姓名,页面表单,已整理
联系人管理,职位（联系人）,文本,否,联系人职位,页面表单,已整理
联系人管理,邮箱（联系人）,邮箱,否,联系人邮箱,页面表单,已整理
联系人管理,电话（联系人）,电话,否,联系人电话,页面表单,已整理
联系人管理,WhatsApp（联系人）,电话,否,联系人WhatsApp,页面表单,已整理
联系人管理,联系角色,枚举,否,决策人采购经理执行联系人关键联系人其他,页面表单,已整理
联系人管理,主要联系人（表单）,布尔,否,仅可设置一位,页面表单,已整理
AI画像,企业画像,文本,否,AI提取企业画像只读展示,详情页,已整理
AI画像,企业信息,文本,否,名称行业年营收员工规模所在地,详情页,已整理
AI画像,风险信息,文本,否,AI识别的企业风险信息,详情页,已整理
AI画像,AI标签（画像）,文本,否,AI生成客户标签只读不可编辑,详情页,已整理
标签管理,已有标签,文本,否,当前线索全部标签AI和手动,页面表单,已整理
标签管理,标签输入,文本,否,输入后回车生成新标签,页面表单,已整理
标签管理,推荐标签,文本,否,AI推荐标签点击快速添加,页面表单,已整理
转客户,线索编号（转客户）,文本,否,只读展示当前线索编号,页面表单,已整理
转客户,线索名称（转客户）,文本,否,只读展示当前线索名称,页面表单,已整理
转客户,客户匹配结果,文本,否,系统校验是否存在同名客户,页面表单,已整理
分配线索,线索编号（分配）,文本,否,只读展示当前线索编号,页面表单,已整理
分配线索,线索名称（分配）,文本,否,只读展示当前线索名称,页面表单,已整理
分配线索,来源站点（分配）,文本,否,只读展示线索所属站点,页面表单,已整理
分配线索,目标负责人,人员,是,下拉选择站点下销售人员,页面表单,已整理
分配线索,分配备注,文本,否,记录分配原因可选,页面表单,已整理
