功能模块,一级功能,二级功能,需求描述,业务规则/验收要点,优先级,阶段
WhatsApp,会话列表,账号筛选,支持按WhatsApp账号筛选,可选配置的WhatsApp号码,P2,二期
WhatsApp,会话列表,刷新会话,支持手动刷新会话列表,重新加载最新会话数据,P0,一期必做
WhatsApp,消息详情,消息记录展示,展示完整会话消息时间线,按时间倒序展示；支持懒加载历史消息,P0,一期必做
WhatsApp,消息详情,联系人信息展示,展示手机号/企业名称/地理位置/状态,使用信息表格展示,P0,一期必做
WhatsApp,消息详情,消息气泡,我方和对方消息区分样式,我方蓝色背景；对方灰色背景,P0,一期必做
WhatsApp,AI智能分析,AI意向摘要,AI自动生成会话意向摘要,展示在联系人信息区域,P0,一期必做
WhatsApp,AI智能分析,AI标签,AI自动生成会话标签,标签带AI标识,P0,一期必做
WhatsApp,线索转化,生成线索,支持从未关联会话生成线索,自动填充联系人/企业等信息,P0,一期必做
WhatsApp,线索转化,查看线索,已关联线索时支持查看,点击跳转线索详情,P0,一期必做
WhatsApp,客户关联,查看客户,已关联客户时支持查看客户详情,点击跳转客户详情页,P1,一期优化
WhatsApp,消息操作,回复消息,支持回复WhatsApp消息,打开回复输入框（MVP为toast提示）,P1,一期优化
线索列表,状态筛选Tabs,状态Tab切换,支持按全部/待跟进/跟进中/已成交客户/丢失切换,切换Tab时重新加载线索列表,P0,一期必做
线索列表,列表查询,站点筛选,支持按站点筛选线索,下拉选择；包含全部选项,P0,一期必做
线索列表,列表查询,创建时间筛选,支持按创建日期筛选线索,日期选择器,P1,一期优化
线索列表,列表查询,关键词搜索,支持输入关键词搜索线索,搜索线索名称/企业/联系人,P0,一期必做
线索列表,列表查询,状态筛选,支持按线索状态筛选,下拉选择；与Tab联动,P0,一期必做
线索列表,列表查询,阶段筛选,支持按线索阶段筛选,下拉选择当前阶段,P1,一期优化
线索列表,列表查询,意向产品筛选,支持按意向产品筛选,文本输入,P2,二期
线索列表,列表查询,查询按钮,点击执行查询,组合所有筛选条件查询,P0,一期必做
线索列表,列表查询,重置按钮,重置所有筛选条件,恢复默认值；刷新列表,P0,一期必做
线索列表,线索表格,线索名称列,展示线索名称；支持点击跳转,主标识列，固定左侧；点击跳转线索详情,P0,一期必做
线索列表,线索表格,来源列,展示线索来源渠道,显示邮件/WhatsApp等,P0,一期必做
线索列表,线索表格,站点列,展示所属站点名称,关联站点数据,P0,一期必做
线索列表,线索表格,负责人列,展示当前负责人,无人认领时显示\-,P0,一期必做
线索列表,线索表格,状态列,展示线索状态标签,状态自动匹配颜色（待跟进/跟进中/高意向/已转客户/丢失）,P0,一期必做
线索列表,线索表格,阶段列,展示线索当前阶段,显示阶段名称,P1,一期优化
线索列表,线索表格,标签列,展示线索标签（最多3个）,超出显示+1/+2；类型自动匹配颜色,P0,一期必做
线索列表,线索表格,意向产品列,展示意向产品（最多2个）,超出显示+1,P1,一期优化
线索列表,线索表格,最近跟进列,展示最近跟进时间,无跟进留空,P0,一期必做
线索列表,线索表格,创建时间列,展示线索创建时间,按创建时间倒序排列,P0,一期必做
线索列表,线索表格,表格分页,支持分页浏览线索,显示共XX条；支持翻页,P0,一期必做
线索列表,线索表格,多行选择,支持选择多条线索进行批量操作,checkbox选择；选择后显示批量操作按钮,P0,一期必做
线索列表,行操作,跟进,支持对线索录入跟进,打开跟进记录抽屉；需跟进权限,P0,一期必做
线索列表,行操作,打标,支持对线索添加标签,打开打标弹窗；显示AI推荐标签和热门标签,P0,一期必做
线索列表,行操作,编辑,支持编辑线索信息,打开编辑线索抽屉,P0,一期必做
线索列表,行操作,更多操作,支持查看更多操作选项,打开更多操作弹窗,P0,一期必做
线索列表,更多操作弹窗,查看邮件,查看线索关联的邮件,跳转邮件详情,P0,一期必做
线索列表,更多操作弹窗,查看WhatsApp,查看线索关联的WhatsApp消息,跳转WhatsApp详情,P0,一期必做
线索列表,更多操作弹窗,分配线索,支持将线索分配给他人,打开分配线索弹窗,P0,一期必做
线索列表,更多操作弹窗,标记无效,支持将线索标记为无效/丢失,打开标记弹窗；选择原因类型,P1,一期优化
线索列表,批量操作,批量分配,支持批量分配线索负责人,选择多条后点击；打开分配弹窗,P0,一期必做
线索列表,批量操作,批量回收,支持批量回收线索至公海,危险操作；需二次确认,P0,一期必做
线索列表,工具栏,跟进日志入口,提供跟进日志全局入口,固定显示；点击跳转跟进日志页面,P0,一期必做
线索列表,工具栏,刷新,支持刷新线索列表,重新加载数据,P0,一期必做
线索列表,工具栏,导出,支持导出线索列表,导出当前查询结果（MVP为toast提示）,P1,一期优化
线索列表,打标弹窗,标签列表,展示AI推荐标签和热门标签,分两类展示；带AI标识,P0,一期必做
线索列表,打标弹窗,自定义标签,支持输入自定义标签,输入后回车添加,P0,一期必做
线索列表,打标弹窗,标签选择,支持选择/取消标签,已选标签高亮显示,P0,一期必做
线索列表,打标弹窗,确认打标,点击确认保存标签,保存后刷新标签显示,P0,一期必做
线索列表,编辑线索抽屉,线索编号,编辑线索时展示线索编号,只读字段,P0,一期必做
线索列表,编辑线索抽屉,企业名称,支持编辑企业名称,必填字段；不能为空,P0,一期必做
线索列表,编辑线索抽屉,联系人姓名,支持编辑联系人姓名,选填字段,P1,一期优化
线索列表,编辑线索抽屉,联系人邮箱,支持编辑联系人邮箱,选填；邮箱格式校验,P1,一期优化
线索列表,编辑线索抽屉,联系人电话,支持编辑联系人电话,选填字段,P1,一期优化
线索列表,编辑线索抽屉,来源站点,支持修改来源站点,必填；下拉选择,P0,一期必做
线索列表,编辑线索抽屉,来源渠道,支持修改来源渠道,选填；下拉选择,P1,一期优化
线索列表,编辑线索抽屉,保存编辑,点击保存编辑后的线索,保存后toast提示；刷新列表,P0,一期必做
线索详情,详情头部,线索基本信息展示,展示线索名称/编码/状态/阶段等,使用infoGrid展示,P0,一期必做
线索详情,详情头部,指标卡片,展示状态阶段/负责人/最近跟进/下次跟进,4张指标卡片,P0,一期必做
线索详情,详情操作,分配,公海线索支持分配负责人,仅公海状态显示；打开分配弹窗,P0,一期必做
线索详情,详情操作,录入跟进,支持录入跟进记录,打开跟进记录抽屉,P0,一期必做
线索详情,详情操作,编辑,支持编辑线索信息,打开编辑线索抽屉,P0,一期必做
线索详情,详情操作,返回列表,返回线索列表页面,保留当前筛选条件,P0,一期必做
线索详情,沟通记录,关联消息时间线,展示线索关联的邮件和WhatsApp消息,按时间线排列,P0,一期必做
线索详情,跟进日志,跟进日志列表,展示当前线索的跟进记录,表格展示；含时间/跟进人/方式/内容,P0,一期必做
线索详情,关联合同,关联合同列表,展示线索关联的合同,合同子表格展示,P1,一期优化
线索详情,AI画像,AI智能分析,展示AI自动生成的线索分析,段落文本形式；含摘要和企业信息,P0,一期必做
线索详情,AI画像,意向产品,展示AI识别的意向产品,Tag形式展示,P0,一期必做
线索详情,基础信息,企业信息展示,展示企业名/联系人/邮箱/电话/来源,infoGrid展示,P0,一期必做
线索详情,基础信息,关联对象,展示关联客户和关联消息数,客户名称可点击跳转,P0,一期必做
跟进日志,跟进日志列表,时间范围筛选,支持按日期范围筛选,日期选择器,P1,一期优化
跟进日志,跟进日志列表,跟进人筛选,支持按跟进人筛选,下拉选择用户,P1,一期优化
跟进日志,跟进日志列表,关键词搜索,支持搜索线索关键词,模糊搜索线索名称,P0,一期必做
跟进日志,跟进日志列表,跟进方式筛选,支持按跟进方式筛选,电话/邮件/WhatsApp/会议/拜访/备注,P1,一期优化
跟进日志,跟进日志列表,表格展示,展示所有跟进记录,含跟进时间/线索/跟进人/方式/阶段/内容/下次跟进,P0,一期必做
跟进日志,跟进日志列表,详情查看,查看跟进记录详情,行操作按钮,P0,一期必做
跟进日志,跟进日志列表,导出,支持导出跟进日志,导出当前筛选结果,P2,二期
跟进日志,跟进日志列表,返回列表,返回线索列表页面,顶部操作按钮,P0,一期必做
录入跟进,跟进表单,线索名称,展示当前线索名称,只读字段,P0,一期必做
录入跟进,跟进表单,跟进方式,选择跟进方式,电话/邮件/WhatsApp/会议/拜访/备注；dropdown选择,P0,一期必做
录入跟进,跟进表单,当前阶段,选择当前阶段,首次联系/需求确认/样品/报价/合同已成交；联动状态更新,P1,一期优化
录入跟进,跟进表单,下次跟进时间,设置下次跟进日期,日期选择器；默认设为明天,P0,一期必做
录入跟进,跟进表单,跟进内容,输入跟进内容,文本域；必填；不能为空,P0,一期必做
录入跟进,跟进表单,保存跟进,保存跟进记录,保存后更新线索最近跟进时间和阶段；toast提示,P0,一期必做
公海池,列表查询,站点筛选,支持按站点筛选公海线索,下拉选择,P0,一期必做
公海池,列表查询,入池时间筛选,支持按入池日期筛选,日期选择器,P1,一期优化
公海池,列表查询,关键词搜索,支持搜索线索关键词,模糊搜索名称,P0,一期必做
公海池,列表查询,来源渠道筛选,支持按来源渠道筛选,下拉选择,P1,一期优化
公海池,公海表格,线索名称列,展示线索名称,主标识列；固定左侧,P0,一期必做
公海池,公海表格,来源渠道列,展示来源渠道,显示邮件/WhatsApp,P0,一期必做
公海池,公海表格,站点列,展示所属站点,关联站点名称,P0,一期必做
公海池,公海表格,入池时间列,展示入池时间,精确到天,P0,一期必做
公海池,公海表格,意向产品列,展示意向产品,产品名称,P1,一期优化
公海池,公海表格,入池原因列,展示回收原因,显示回收时填写的原因,P0,一期必做
公海池,行操作,分配,支持分配公海线索给负责人,打开分配弹窗,P0,一期必做
公海池,行操作,查看详情,支持查看线索详情,跳转线索详情页（仅查看+分配）,P0,一期必做
公海池,批量操作,批量分配,支持批量分配线索,选择多条后点击；打开分配弹窗,P0,一期必做
分配操作,分配表单,新负责人选择,选择目标负责人,仅可选销售人员；必填,P0,一期必做
分配操作,分配表单,分配备注,填写分配备注,文本域；必填,P0,一期必做
分配操作,分配弹窗,确认分配,确认执行分配,分配后更新线索ownerId和状态；toast提示,P0,一期必做
分配操作,回收至公海,回收原因,填写回收原因,文本域；必填；危险弹窗,P0,一期必做
分配操作,回收至公海,确认回收,确认执行回收,清除负责人；状态改为公海待分配；toast提示,P0,一期必做
转客户操作,客户转交,新负责人选择,选择转交目标负责人,下拉选择；必填,P0,一期必做
转客户操作,客户转交,转交备注,填写转交备注,文本域；必填,P0,一期必做
转客户操作,客户转交,确认转交,确认执行转交,更新客户ownerId和线索ownerId,P0,一期必做
客户列表,列表查询,关键词搜索,支持搜索客户关键词,模糊搜索客户名称,P0,一期必做
客户列表,列表查询,国家/地区筛选,支持按国家筛选,下拉选择,P2,二期
客户列表,列表查询,行业筛选,支持按行业筛选,下拉选择,P2,二期
客户列表,列表查询,负责人筛选,支持按负责人筛选,下拉选择,P1,一期优化
客户列表,列表查询,站点筛选,支持按站点筛选,下拉选择,P0,一期必做
客户列表,客户表格,客户名称列,展示客户名称,主标识列；可点击跳转详情,P0,一期必做
客户列表,客户表格,站点列,展示所属站点,关联站点数据,P0,一期必做
客户列表,客户表格,国家/地区列,展示客户所在国家,文本展示,P1,一期优化
客户列表,客户表格,行业列,展示客户行业,文本展示,P1,一期优化
客户列表,客户表格,负责人列,展示当前负责人,关联用户数据,P0,一期必做
客户列表,客户表格,标签列,展示客户标签,分级标签颜色区分,P1,一期优化
客户列表,客户表格,关联线索数列,展示关联线索数量,数字展示,P0,一期必做
客户列表,客户表格,最近签约列,展示最近签约合同,合同名称/金额,P1,一期优化
客户列表,工具栏,新建客户,支持创建新客户,打开新建客户抽屉；需创建权限,P0,一期必做
客户列表,工具栏,客户转交,支持批量转交客户,选择后点击；打开转交弹窗,P0,一期必做
客户列表,工具栏,刷新,刷新客户列表,重新加载,P0,一期必做
客户列表,工具栏,导出,导出客户数据,导出当前结果,P1,一期优化
客户列表,行操作,详情,查看客户详情,跳转客户详情页,P0,一期必做
客户列表,行操作,线索记录,查看客户关联线索,跳转并筛选,P1,一期优化
客户列表,行操作,AI画像,查看AI客户画像弹窗,打开只读弹窗展示AI分析,P0,一期必做
客户列表,行操作,更多操作,查看编辑联系人和转交,打开更多操作弹窗,P0,一期必做
客户列表,更多操作弹窗,编辑联系人,支持编辑客户联系人,打开编辑客户抽屉,P0,一期必做
客户列表,更多操作弹窗,转交,支持转交客户负责人,打开转交弹窗,P0,一期必做
客户列表,新建客户抽屉,客户名称,输入客户名称,必填字段,P0,一期必做
客户列表,新建客户抽屉,所属站点,选择所属站点,必填；下拉选择,P0,一期必做
客户列表,新建客户抽屉,国家/地区,选择客户国家,选填；下拉选择,P1,一期优化
客户列表,新建客户抽屉,行业,选择客户行业,选填；下拉选择,P1,一期优化
客户列表,新建客户抽屉,联系人信息,输入联系人姓名/职位/邮箱/电话,选填；套联系人信息,P1,一期优化
客户列表,新建客户抽屉,保存客户,保存新建客户,保存后toast提示；刷新列表；自动生成默认AI画像,P0,一期必做
客户详情,详情头部,客户基本信息展示,展示客户名称/编码/状态等,指标卡片+infoGrid,P0,一期必做
客户详情,详情头部,指标卡片,展示关联线索/合作合同/累计金额/状态,4张指标卡片,P0,一期必做
客户详情,详情操作,编辑联系人,支持编辑客户联系人,打开编辑客户抽屉,P0,一期必做
客户详情,详情操作,新增合同,支持新增合同,打开新增合同抽屉；需创建权限,P0,一期必做
客户详情,详情操作,返回列表,返回客户列表,保留筛选条件,P0,一期必做
客户详情,客户信息Tab,基础信息,展示公司/国家/行业/官网/站点/创建时间/标签,infoGrid展示,P0,一期必做
客户详情,线索记录Tab,关联线索列表,展示该客户的全部关联线索,完整表格展示,P1,一期优化
客户详情,联系人Tab,联系人列表,展示联系人姓名/职位/邮箱/电话/WhatsApp/角色,表格展示；8列,P0,一期必做
客户详情,联系人Tab,编辑联系人,支持编辑联系人信息,行操作按钮,P0,一期必做
客户详情,联系人Tab,删除联系人,支持删除联系人,二次确认后删除,P1,一期优化
客户详情,联系人Tab,主要联系人标识,标识主要联系人,仅可设置一位为主要联系人,P1,一期优化
客户详情,合同Tab,合作合同列表,展示客户关联的合同,合同子表格展示,P0,一期必做
客户详情,AI画像Tab,AI公司简介,AI自动生成公司简介,只读展示,P0,一期必做
客户详情,AI画像Tab,AI主营业务,AI识别的主营业务,只读展示,P0,一期必做
客户详情,AI画像Tab,AI企业规模,AI识别的企业规模信息,只读展示,P0,一期必做
客户详情,AI画像Tab,AI目标市场,AI识别的目标市场,只读展示,P0,一期必做
客户详情,AI画像Tab,AI风险信息,AI识别的潜在风险,只读展示,P0,一期必做
合同中心,列表查询,合同编号搜索,支持按合同编号搜索,文本输入,P0,一期必做
合同中心,列表查询,客户名称搜索,支持按客户名称搜索,文本输入,P1,一期优化
合同中心,列表查询,签约日期筛选,支持按签约日期范围筛选,日期选择器,P1,一期优化
合同中心,列表查询,状态筛选,支持按合同状态筛选,下拉选择：全部/已签约/执行中/已完成/已终止/已作废,P0,一期必做
合同中心,列表查询,负责人筛选,支持按负责人筛选,下拉选择,P1,一期优化
合同中心,合同表格,合同编号列,展示合同编号,主标识列；固定左侧,P0,一期必做
合同中心,合同表格,合同名称列,展示合同名称,文本展示,P0,一期必做
合同中心,合同表格,客户列,展示关联客户,关联客户数据；可点击,P0,一期必做
合同中心,合同表格,金额列,展示合同金额,金额格式化为¥,P0,一期必做
合同中心,合同表格,签约日期列,展示签约日期,日期展示,P0,一期必做
合同中心,合同表格,状态列,展示合同状态,状态标签颜色区分,P0,一期必做
合同中心,合同表格,负责人列,展示合同负责人,关联用户数据,P1,一期优化
合同中心,工具栏,新增合同,支持新增合同,打开新增合同抽屉；需创建权限,P0,一期必做
合同中心,工具栏,刷新,刷新合同列表,重新加载,P0,一期必做
合同中心,工具栏,导出,导出合同数据,导出当前结果,P1,一期优化
合同中心,行操作,详情,查看合同详情,跳转合同详情页,P0,一期必做
合同中心,行操作,编辑金额,支持编辑合同金额,直接编辑行内金额字段,P1,一期优化
合同中心,行操作,编辑,编辑合同信息,打开编辑合同抽屉,P0,一期必做
合同中心,行操作,更多操作,查看作废/终止操作,非终态合同可操作,P1,一期优化
合同中心,新增合同抽屉,合同编号,输入合同编号,必填；系统预生成,P0,一期必做
合同中心,新增合同抽屉,合同名称,输入合同名称,必填字段,P0,一期必做
合同中心,新增合同抽屉,客户选择,选择关联客户,必填；下拉选择,P0,一期必做
合同中心,新增合同抽屉,关联线索,选择关联线索,选填；下拉选择,P1,一期优化
合同中心,新增合同抽屉,金额输入,输入合同金额,必填；数字输入；格式化为¥,P0,一期必做
合同中心,新增合同抽屉,签约日期,选择签约日期,必填；日期选择器,P0,一期必做
合同中心,新增合同抽屉,合同状态,选择合同状态,必填；下拉选择,P0,一期必做
合同中心,新增合同抽屉,保存合同,保存新建合同,保存后toast提示；刷新列表,P0,一期必做
合同详情,详情头部,合同信息展示,展示合同全部信息,指标卡+infoGrid,P0,一期必做
合同详情,详情头部,指标卡片,展示金额/状态/负责人/签约日期,4张指标卡片,P0,一期必做
合同详情,详情操作,编辑,非终态合同支持编辑,打开编辑合同抽屉,P0,一期必做
合同详情,详情操作,返回列表,返回合同列表,保留筛选条件,P0,一期必做
合同详情,基本信息,客户关联,展示关联客户信息,客户名称可点击跳转,P0,一期必做
合同详情,基本信息,线索关联,展示关联线索信息,线索可点击跳转,P1,一期优化
合同详情,操作记录,跟进日志,展示关联线索的跟进日志,合同详情页展示相关跟进日志,P2,二期
销售经营,分析筛选,时间快捷选项,支持今日/本周/本月/本季度/自定义切换,切换时重新加载分析数据,P0,一期必做
销售经营,分析筛选,站点筛选,支持按站点筛选分析数据,下拉选择,P1,一期优化
销售经营,指标卡片,线索总数,展示全部线索总数,按筛选范围统计,P0,一期必做
销售经营,指标卡片,新增线索,展示新增线索数量,按筛选范围统计,P0,一期必做
销售经营,指标卡片,成交金额,展示累计成交金额,金额格式化为¥,P0,一期必做
销售经营,指标卡片,线索转化率,展示线索转化率,百分比展示,P1,一期优化
销售经营,销售漏斗,漏斗分析,展示线索各阶段转化漏斗,按5个阶段展示,P1,一期优化
销售经营,趋势图,线索增长与成交趋势,展示近6个月线索增长和成交金额组合图,柱状+折线组合图,P2,二期
销售经营,销售排行榜,成交额排行,展示销售人员按成交额排名TOP10,含业务员/团队/线索数/跟进数/转客户数/金额/目标达成,P1,一期优化
销售经营,销售排行榜,转客数排行,展示销售人员按转客户数排名TOP10,切换排行维度,P2,二期
获客分析,分析筛选,时间快捷选项,支持时间快捷切换,同销售经营,P0,一期必做
获客分析,分析筛选,站点筛选,支持按站点筛选,下拉选择,P1,一期优化
获客分析,指标卡片,消息总量,展示邮件+WhatsApp消息总数,按筛选范围统计,P0,一期必做
获客分析,指标卡片,AI识别数量,AI自动识别的消息数量,展示AI处理能力,P1,一期优化
获客分析,指标卡片,有效消息比例,展示有效消息占比,百分比展示,P2,二期
获客分析,指标卡片,增长,展示消息增长趋势,环比增长率,P2,二期
获客分析,渠道效能,邮件效能卡片,展示邮件渠道消息数/线索数/转化率,含渠道维度指标,P0,一期必做
获客分析,渠道效能,WhatsApp效能卡片,展示WhatsApp渠道消息数/线索数/转化率,含渠道维度指标,P0,一期必做
获客分析,站点价值,站点价值列表,展示各站点渠道/消息/线索/转化率/金额,表格展示；支持点击查看站点,P1,一期优化
客户经营,分析筛选,时间范围筛选,支持按时间范围筛选,日期选择器,P1,一期优化
客户经营,分析筛选,站点筛选,支持按站点筛选,下拉选择,P1,一期优化
客户经营,指标卡片,客户总数,展示累计客户总数,按筛选范围统计,P0,一期必做
客户经营,指标卡片,新增客户,展示本月新增客户数,按筛选范围统计,P0,一期必做
客户经营,指标卡片,成交客户,展示成交客户数量,按筛选范围统计,P1,一期优化
客户经营,指标卡片,客户增长率,展示客户增长率,百分比展示,P2,二期
客户经营,行业分布,客户行业分布图,展示客户行业占比饼图,按行业维度分布,P2,二期
客户经营,国家分布,客户国家分布图,展示客户国家分布柱状图,按国家维度分布,P2,二期
客户经营,转化趋势,年度转化趋势,展示月度客户转化趋势折线图,按月维度展示,P2,二期
站点管理,列表查询,关键词搜索,支持搜索站点关键词,模糊搜索站点名称/编码/域名,P0,一期必做
站点管理,站点表格,站点名称列,展示站点名称,主标识列；固定左侧,P0,一期必做
站点管理,站点表格,站点编码列,展示站点编码,文本展示,P0,一期必做
站点管理,站点表格,域名列,展示站点域名,文本展示,P0,一期必做
站点管理,站点表格,状态列,展示站点状态标签,启用/停用颜色区分,P0,一期必做
站点管理,站点表格,接口状态列,展示接口连接状态,正常/异常颜色区分,P0,一期必做
站点管理,站点表格,最近拉取列,展示最近数据拉取时间,显示时间+条数,P0,一期必做
站点管理,站点表格,创建时间列,展示站点创建时间,日期展示,P0,一期必做
站点管理,工具栏,新增站点,支持新增站点,打开新增站点抽屉,P0,一期必做
站点管理,工具栏,刷新,刷新站点列表,重新加载,P0,一期必做
站点管理,行操作,编辑,编辑站点信息,打开编辑站点抽屉,P0,一期必做
站点管理,行操作,启用/停用,启用或停用站点,二次确认后执行,P0,一期必做
站点管理,行操作,配置,进入站点配置页,跳转站点配置页,P0,一期必做
站点详情,详情头部,站点信息展示,展示站点全部信息,指标卡+infoGrid,P0,一期必做
站点详情,详情头部,指标卡片,展示线索/客户/合同/接口状态,4张指标卡片,P0,一期必做
站点详情,详情操作,进入配置,进入站点配置页,跳转配置页,P0,一期必做
站点详情,详情操作,返回列表,返回站点列表,保留筛选条件,P0,一期必做
站点配置,联系方式Tab,联系邮箱配置,配置站点联系邮箱,输入后保存,P0,一期必做
站点配置,联系方式Tab,WhatsApp配置,配置站点WhatsApp号码,输入后保存,P0,一期必做
站点配置,联系方式Tab,保存配置,保存联系方式配置,保存后toast提示,P0,一期必做
站点配置,业务流程Tab,阶段管理,管理站点线索阶段,表格展示阶段名称/触发高意向/排序,P0,一期必做
站点配置,业务流程Tab,新增阶段,支持新增阶段,表单输入阶段名称,P1,一期优化
站点配置,公海规则Tab,启用自动回收,配置是否启用自动回收,开关/选择,P0,一期必做
站点配置,公海规则Tab,回收超时时长,配置回收超时天数,数字输入；单位天,P0,一期必做
