序号,一级模块,二级模块,页面名称,功能编号,功能名称,功能描述,操作说明,业务规则,输入项,输出项,异常处理,权限要求,关联页面,备注
15,工作台,工作台,工作台,F-015,站点筛选,系统支持按站点筛选工作台数据，仅管理员和区域负责人可见,用户选择站点后点击查询按钮，按站点过滤数据,仅系统管理员和区域负责人角色可见该筛选条件,站点（全部/具体站点名称）,按站点过滤工作台数据,无,系统管理员、区域负责人,无,默认值为"全部站点"
16,工作台,工作台,工作台,F-016,筛选查询,系统根据用户选择的时间范围和站点条件刷新工作台数据,用户点击"查询"按钮触发筛选,无,无,刷新工作台数据,无,全部已登录用户,无,
17,工作台,工作台,工作台,F-017,筛选重置,系统恢复筛选条件至默认值并重新加载数据,用户点击"重置"按钮，筛选条件恢复默认并刷新数据,无,无,重置筛选条件并刷新工作台数据,无,全部已登录用户,无,
18,工作台,工作台,工作台,F-018,新增线索指标卡,展示选定时间范围内系统新生成的线索总数及来源渠道分布,用户可点击指标卡跳转至线索列表,1.主数值为大号字体显示新增线索总数；2.下方展示来源渠道分布（邮件、WhatsApp、社媒）；3.社媒渠道为本期预留扩展，数据暂为0或隐藏，待后续接入Facebook Messenger、LinkedIn等渠道后启用,无,展示新增线索数量及来源分布,无,全部已登录用户,线索列表,
19,工作台,工作台,工作台,F-019,待跟进指标卡,展示当前用户下次跟进时间为今日的线索数量,用户点击指标卡跳转至线索列表并自动按"下次跟进时间=今日"过滤,仅统计当前用户有跟进计划且下次跟进时间等于今日的线索数量,无,展示待跟进线索数量,无,全部已登录用户,线索列表,
20,工作台,工作台,工作台,F-020,成交额指标卡,展示选定时间范围内已签订合同金额的累计总和,用户可点击指标卡跳转至合同中心,展示累计成交金额（含人民币币种）及较上一周期增长/下降百分比,无,展示成交额及环比变化,无,全部已登录用户,合同中心,
21,工作台,工作台,工作台,F-021,有效线索率指标卡,展示有效线索数占全部线索数的百分比,用户可查看有效线索率百分比及辅助信息,计算公式：有效线索率=有效线索数/全部线索数×100%,无,展示有效线索率及有效线索数/全部线索数,无,全部已登录用户,无,
22,工作台,工作台,工作台,F-022,线索成交率指标卡,展示已转化为合同的线索数占有效线索数的百分比,用户可查看线索成交率百分比及辅助信息,计算公式：线索成交率=已成交线索数/有效线索数×100%,无,展示线索成交率及已成交线索数/有效线索数,无,全部已登录用户,无,
23,工作台,工作台,工作台,F-023,客户活跃度指标卡,展示统计周期（默认近30天）内有跟进行为或消息互动的客户数量及占比,用户可查看活跃客户数及趋势,1.活跃定义：客户在统计周期内发生过新增消息、新增跟进记录或新增合同中任一行为；2.展示活跃客户数、占总客户数百分比及近7天变化趋势,无,展示活跃客户数、占比及趋势,无,全部已登录用户,无,
24,工作台,工作台,工作台,F-024,销售漏斗图,展示线索从进入到最终成交的各阶段转化情况，包括线索进入、有效线索、高意向、转客户、合同成交五个阶段,用户可在工作台查看销售漏斗图表，无需操作,1.漏斗数据受顶部时间范围筛选控制；2.每个阶段显示数量；3.相邻阶段之间显示转化百分比,无,展示销售漏斗各阶段数量和转化率,无,全部已登录用户,无,
25,工作台,工作台,工作台,F-025,成交额趋势图,展示选定时间范围内成交额的变化趋势折线图,用户可在工作台查看成交额趋势图表，默认展示近30天日成交额趋势,1.默认展示近30天日成交额趋势（折线图）；2.支持按日/周/月切换时间维度,无,展示成交额趋势折线图,无,全部已登录用户,无,
26,工作台,工作台,工作台,F-026,快捷入口-公海池,提供快速进入公海池页面的入口,用户点击快捷入口卡片跳转至公海池页面,无,无,跳转至公海池页面,无,全部已登录用户,线索中心-公海池,
27,工作台,工作台,工作台,F-027,快捷入口-线索列表,提供快速进入线索列表页面的入口,用户点击快捷入口卡片跳转至线索列表页面,无,无,跳转至线索列表页面,无,全部已登录用户,线索中心-线索列表,
28,工作台,工作台,工作台,F-028,快捷入口-客户列表,提供快速进入客户列表页面的入口,用户点击快捷入口卡片跳转至客户列表页面,无,无,跳转至客户列表页面,无,全部已登录用户,客户中心-客户列表,
29,工作台,工作台,工作台,F-029,快捷入口-合同中心,提供快速进入合同中心页面的入口,用户点击快捷入口卡片跳转至合同中心页面,无,无,跳转至合同中心页面,无,全部已登录用户,客户中心-合同中心,
30,沟通中心,邮件,邮件,F-030,邮箱选择,系统支持用户切换邮箱账号查看对应邮件,用户从邮箱下拉列表中选择一个邮箱账号，系统加载该邮箱的邮件列表,邮箱选项包括：sales@global.example.com、quote@industrial.example.com,邮箱账号,切换邮箱加载对应邮件列表,无,有邮件权限的用户,无,
31,沟通中心,邮件,邮件,F-031,邮件关键词搜索,系统支持按关键词搜索邮件主题、发件人和正文,用户在关键词输入框中输入搜索内容后按回车键，系统筛选匹配的邮件,搜索范围为邮件主题、发件人、正文内容,关键词,筛选匹配的邮件列表,无,有邮件权限的用户,无,
32,沟通中心,邮件,邮件,F-032,邮件时间范围筛选,系统支持按时间范围筛选邮件,用户选择时间范围后，系统筛选该时间范围内的邮件,无,时间范围,筛选指定时间范围内的邮件,无,有邮件权限的用户,无,
33,沟通中心,邮件,邮件,F-033,附件筛选,系统支持按附件有无筛选邮件,用户选择附件筛选项（全部/有附件/无附件），系统筛选对应邮件,无,附件筛选条件（全部/有附件/无附件）,筛选后的邮件列表,无,有邮件权限的用户,无,
34,沟通中心,邮件,邮件,F-034,邮件查询,系统根据用户选择的筛选条件更新邮件列表,用户点击"查询"按钮触发筛选,无,无,刷新邮件列表,无,有邮件权限的用户,无,
35,沟通中心,邮件,邮件,F-035,邮件重置筛选,系统恢复邮件筛选条件至默认值并重新加载邮件列表,用户点击"重置"按钮,无,无,重置筛选条件并刷新邮件列表,无,有邮件权限的用户,无,
36,沟通中心,邮件,邮件,F-036,邮件刷新,系统重新加载当前邮箱的邮件列表,用户点击"刷新"按钮,无,无,刷新邮件列表,无,有邮件权限的用户,无,
37,沟通中心,邮件,邮件,F-037,批量AI提炼,系统对当前邮箱中的邮件批量执行AI智能分析提炼,用户点击"批量AI提炼"按钮,无,无,系统提示"已创建批量AI提炼任务",无,有邮件权限的用户,无,
38,沟通中心,邮件,邮件,F-038,邮件文件夹切换,系统支持用户在邮件文件夹（未读/收件箱/已发送/草稿箱/垃圾箱）间切换查看,用户点击对应文件夹标签，系统加载该文件夹下的邮件列表,文件夹包括：未读、收件箱、已发送、草稿箱、垃圾箱,文件夹名称,加载对应文件夹的邮件列表,无,有邮件权限的用户,无,
39,沟通中心,邮件,邮件,F-039,邮件列表展示,系统展示当前邮箱和文件夹下的邮件列表，包含主题、发件人、摘要和时间,用户在邮件列表中点击选择某一封邮件查看详情,1.未读邮件在主题前显示圆点标记；2.邮件列表支持点击选中,无,展示邮件列表及选中邮件的详情内容,无,有邮件权限的用户,无,
40,沟通中心,邮件,邮件,F-040,邮件详情查看,系统展示选中邮件的详细内容，包含发件人、收件人、时间、来源站点、AI智能分析和邮件原文,用户在邮件列表中点击一封邮件，右侧展示邮件详情,1.来源站点若已关联则展示站点名称，未关联则展示"待确认"标签；2.AI智能分析包含摘要、企业信息和风险信息；3.邮件原文包含正文内容和附件列表,无,展示邮件详情信息,无,有邮件权限的用户,无,
41,沟通中心,邮件,邮件,F-041,查看线索（邮件）,系统从邮件页面跳转至已关联的线索详情页,用户点击"查看线索"按钮跳转至线索详情页,仅当邮件已生成线索时展示"查看线索"按钮,无,跳转至线索详情页,无,有邮件权限的用户,线索详情,
42,沟通中心,邮件,邮件,F-042,生成线索（邮件）,系统对当前邮件生成线索,用户点击"生成线索"按钮，系统执行线索生成操作,仅当邮件未生成线索时展示"生成线索"按钮,无,系统提示"线索生成成功",无,有邮件权限的用户,线索列表,
43,沟通中心,邮件,邮件,F-043,邮件回复,系统唤起邮件回复流程（本期为预留功能）,用户点击"回复"按钮,本期回复为预留功能，仅做入口展示,无,系统提示"已唤起回复流程",无,有邮件权限的用户,无,
44,沟通中心,WhatsApp,WhatsApp,F-044,WhatsApp账号选择,系统支持用户切换WhatsApp账号查看对应会话,用户从账号下拉列表中选择一个账号，系统加载该账号的会话列表,账号选项：+1 415 010 2026,账号,切换账号加载对应会话列表,无,有WhatsApp权限的用户,无,
45,沟通中心,WhatsApp,WhatsApp,F-045,WhatsApp关键词搜索,系统支持按关键词搜索联系人、企业和消息内容,用户在关键词输入框中输入搜索内容后按回车键，系统筛选匹配的会话,搜索范围为联系人、企业名称、消息内容,关键词,筛选匹配的会话列表,无,有WhatsApp权限的用户,无,
46,沟通中心,WhatsApp,WhatsApp,F-046,WhatsApp查询,系统根据用户选择的条件更新会话列表,用户点击"查询"按钮触发筛选,无,无,刷新会话列表,无,有WhatsApp权限的用户,无,
47,沟通中心,WhatsApp,WhatsApp,F-047,WhatsApp重置筛选,系统恢复WhatsApp筛选条件至默认值并重新加载,用户点击"重置"按钮,无,无,重置筛选条件并刷新会话列表,无,有WhatsApp权限的用户,无,
48,沟通中心,WhatsApp,WhatsApp,F-048,WhatsApp刷新,系统重新加载当前账号的会话列表,用户点击"刷新"按钮,无,无,刷新会话列表,无,有WhatsApp权限的用户,无,
49,沟通中心,WhatsApp,WhatsApp,F-049,会话列表展示,系统展示当前WhatsApp账号下的会话列表，包含联系人、企业名称、最近消息和时间,用户在会话列表中点击选择一条会话查看详情,未读消息显示未读数量标记,无,展示会话列表及选中会话的详情,无,有WhatsApp权限的用户,无,
50,沟通中心,WhatsApp,WhatsApp,F-050,会话详情查看,系统展示选中会话的详细内容，包含联系人信息、消息记录、AI智能洞察和操作区,用户在会话列表中点击一条会话，右侧展示会话详情,1.联系人信息包含手机号、企业名称、地理位置和线索生成状态；2.消息记录按时间顺序展示；3.AI智能洞察包含摘要和标签,无,展示会话详情信息,无,有WhatsApp权限的用户,无,
51,沟通中心,WhatsApp,WhatsApp,F-051,查看线索（WhatsApp）,系统从会话页面跳转至已关联的线索详情页,用户点击"查看线索"按钮跳转至线索详情页,仅当会话已生成线索时展示"查看线索"按钮,无,跳转至线索详情页,无,有WhatsApp权限的用户,线索详情,
52,沟通中心,WhatsApp,WhatsApp,F-052,生成线索（WhatsApp）,系统对当前会话生成线索,用户点击"生成线索"按钮，系统执行线索生成操作,仅当会话未生成线索时展示"生成线索"按钮,无,系统提示"线索生成成功",无,有WhatsApp权限的用户,线索列表,
53,沟通中心,WhatsApp,WhatsApp,F-053,查看客户（WhatsApp）,系统从会话页面跳转至已关联的客户详情页,用户点击"查看客户"按钮跳转至客户详情页,仅当会话已关联客户时展示"查看客户"按钮,无,跳转至客户详情页,无,有WhatsApp权限的用户,客户详情,
54,沟通中心,WhatsApp,WhatsApp,F-054,WhatsApp回复,系统进入回复模式（本期为预留功能）,用户点击"回复"按钮,本期回复为预留功能，仅做入口展示,无,系统提示"已进入回复模式",无,有WhatsApp权限的用户,无,
55,线索中心,线索列表,线索列表,F-055,线索列表页面展示,系统以表格形式展示当前用户有权限查看的所有线索列表,用户从左侧菜单进入线索列表页面,1.不展示状态为"公海待分配"的线索；2.展示线索名称、来源、所属站点、负责人、状态、阶段、标签、意向产品、最近跟进、创建时间等字段,无,展示线索列表表格,无,有线索列表权限的用户,无,
56,线索中心,线索列表,线索列表,F-056,线索状态Tab切换,系统支持按线索状态快速筛选列表数据,用户点击Tab标签切换不同的状态分类,Tab分类：全部、待跟进（已分配）、跟进中（跟进中/高意向）、已成交客户（已转客户）、丢失,状态分类,筛选对应状态的线索列表,无,有线索列表权限的用户,无,
57,线索中心,线索列表,线索列表,F-057,线索站点筛选,系统支持按所属站点筛选线索,用户选择站点后点击查询，系统按站点过滤线索列表,站点选项包括全部及所有可用站点,站点,筛选指定站点的线索,无,有线索列表权限的用户,无,
58,线索中心,线索列表,线索列表,F-058,线索创建时间筛选,系统支持按创建时间范围筛选线索,用户选择时间范围后点击查询，系统筛选该时间范围内的线索,无,时间范围,筛选指定创建时间的线索,无,有线索列表权限的用户,无,
59,线索中心,线索列表,线索列表,F-059,线索关键词搜索,系统支持按关键词搜索线索编号、名称、企业和邮箱,用户在关键词输入框中输入搜索内容后点击查询，系统筛选匹配的线索,搜索范围为线索编号、名称、企业、邮箱,关键词,筛选匹配的线索列表,无,有线索列表权限的用户,无,
60,线索中心,线索列表,线索列表,F-060,线索状态筛选,系统支持按线索状态筛选列表,用户从状态下拉列表中选择状态后点击查询,状态选项：全部、已分配、跟进中/高意向、已转客户、无效、丢失,状态,筛选指定状态的线索,无,有线索列表权限的用户,无,
61,线索中心,线索列表,线索列表,F-061,线索阶段筛选,系统支持按线索当前阶段筛选列表,用户从阶段下拉列表中选择阶段后点击查询,阶段选项：全部、首次联系、需求确认、样品阶段、报价阶段,阶段,筛选指定阶段的线索,无,有线索列表权限的用户,无,
62,线索中心,线索列表,线索列表,F-062,线索意向产品筛选,系统支持按意向产品关键词筛选线索,用户输入意向产品关键词后点击查询,无,意向产品关键词,筛选匹配的线索,无,有线索列表权限的用户,无,
63,线索中心,线索列表,线索列表,F-063,线索查询,系统根据用户选择的全部筛选条件更新线索列表,用户点击"查询"按钮触发筛选,无,无,刷新线索列表,无,有线索列表权限的用户,无,
64,线索中心,线索列表,线索列表,F-064,线索重置筛选,系统恢复线索筛选条件至默认值并重新加载线索列表,用户点击"重置"按钮,无,无,重置筛选条件并刷新线索列表,无,有线索列表权限的用户,无,
65,线索中心,线索列表,线索列表,F-065,线索录入跟进,系统支持用户对选中的单条线索录入跟进记录,用户选中一条线索后点击"录入跟进"按钮，在弹出的跟进表单中填写跟进信息后保存,1.仅选中一条线索时可操作；2.跟进方式可选：电话、邮件、WhatsApp、会议、拜访、备注；3.当前阶段可选：首次联系、需求确认、样品阶段、报价阶段、合同已成交；4.跟进内容为必填；5.跟进记录录入成功后不可修改、不可删除,跟进方式（必填）、当前阶段（必填）、下次跟进时间、跟进内容（必填）,保存跟进记录，系统提示"跟进记录录入成功",无,跟进权限（follow）,无,
66,线索中心,线索列表,线索列表,F-066,线索批量分配,系统支持对选中的多条线索批量分配负责人,用户选中一条或多条线索后点击"批量分配"按钮，在弹出的分配窗口中选择新负责人和填写分配备注后确认,1.可选负责人为销售业务员角色用户；2.分配备注为必填；3.分配后线索状态从"公海待分配"变更为"已分配",新负责人（必填）、分配备注（必填）,系统提示"成功分配X条线索",无,分配权限（assign）,无,
67,线索中心,线索列表,线索列表,F-067,线索回收至公海,系统支持对选中的线索回收至公海池,用户选中一条或多条线索后点击"回收"按钮，在弹出的窗口中填写回收原因后确认,1.仅状态为"已分配"或"跟进中"的线索可回收；2.回收后线索负责人清空、状态变更为"公海待分配"；3.回收原因为必填,回收原因（必填）,系统提示"线索已回收至公海",无,回收权限（recycle）,公海池,
68,线索中心,线索列表,线索列表,F-068,查看跟进日志,系统跳转至全量跟进日志页面,用户点击"跟进日志"按钮跳转至跟进日志页面,无,无,跳转至跟进日志页面,无,有线索列表权限的用户,跟进日志,
69,线索中心,线索列表,线索列表,F-069,线索刷新,系统重新加载线索列表数据,用户点击"刷新"按钮,无,无,刷新线索列表数据,无,有线索列表权限的用户,无,
70,线索中心,线索列表,线索列表,F-070,线索导出,系统创建线索导出任务（本期为预留功能）,用户点击"导出"按钮,本期导出为预留功能，仅做入口展示,无,系统提示"已创建线索导出任务",无,导出权限（export）,无,
71,线索中心,线索列表,线索列表,F-071,线索列表多选,系统支持在线索列表中选择单条或多条线索,用户勾选线索前的复选框选择操作对象,选中项在工具栏显示"已选N项"提示,无,选中线索用于后续批量操作,无,有线索列表权限的用户,无,
72,线索中心,线索列表,线索列表,F-072,线索名称点击跳转,系统支持点击线索名称跳转至线索详情页,用户点击线索名称链接跳转至线索详情页,无,无,跳转至线索详情页,无,有线索列表权限的用户,线索详情,
73,线索中心,线索列表,线索列表,F-073,线索打标,系统支持为线索添加/修改标签,用户点击"打标"按钮,无,无,系统提示"标签已更新",无,打标权限（tag）,无,
74,线索中心,线索列表,线索列表,F-074,线索编辑,系统支持编辑线索基本信息,用户点击"编辑"按钮，在弹出的编辑窗口中修改线索信息后保存,可编辑字段：企业名称、联系人姓名、联系人邮箱、联系人电话、来源站点、来源渠道、意向产品,线索编辑表单字段,系统提示"线索信息已更新",无,编辑权限（edit）,无,
75,线索中心,线索列表,线索列表,F-075,线索更多操作-查看邮件,系统从线索跳转至邮件页面,用户在更多操作菜单中点击"查看邮件"跳转至邮件页面,无,无,跳转至邮件页面,无,有线索列表权限的用户,邮件,
76,线索中心,线索列表,线索列表,F-076,线索更多操作-查看WhatsApp,系统从线索跳转至WhatsApp页面,用户在更多操作菜单中点击"查看WhatsApp"跳转至WhatsApp页面,无,无,跳转至WhatsApp页面,无,有线索列表权限的用户,WhatsApp,
77,线索中心,线索列表,线索列表,F-077,线索更多操作-分配,系统支持对单条线索分配负责人,用户在更多操作菜单中点击"分配线索"按钮，弹出分配窗口操作,同批量分配规则，仅针对单条线索,新负责人（必填）、分配备注（必填）,线索分配成功,无,分配权限（assign）,无,
78,线索中心,线索列表,线索列表,F-078,线索更多操作-标记无效,系统支持将线索标记为无效状态,用户在更多操作菜单中点击"标记无效"按钮,无,无,系统提示"线索已标记无效",无,状态变更权限（status-change）,无,
79,线索中心,公海池,公海池,F-079,公海池页面展示,系统展示当前未分配（公海待分配）的线索列表，供主管进行分配操作,用户从左侧菜单进入公海池页面,仅展示状态为"公海待分配"的线索,无,展示公海池线索列表,无,有公海池权限的用户,无,
80,线索中心,公海池,公海池,F-080,公海池站点筛选,系统支持按所属站点筛选公海池线索,用户选择站点后点击查询,无,站点,筛选指定站点的公海池线索,无,有公海池权限的用户,无,
81,线索中心,公海池,公海池,F-081,公海池入池时间筛选,系统支持按入池时间范围筛选公海池线索,用户选择时间范围后点击查询,无,时间范围,筛选指定入池时间的公海池线索,无,有公海池权限的用户,无,
82,线索中心,公海池,公海池,F-082,公海池关键词搜索,系统支持按关键词搜索公海池线索编号、名称和企业,用户输入关键词后点击查询,搜索范围为编号、名称、企业,关键词,筛选匹配的公海池线索,无,有公海池权限的用户,无,
83,线索中心,公海池,公海池,F-083,公海池来源渠道筛选,系统支持按来源渠道筛选公海池线索,用户选择来源渠道后点击查询,渠道选项：全部、官网询盘、WhatsApp、自然询盘,渠道,筛选指定来源渠道的公海池线索,无,有公海池权限的用户,无,
84,线索中心,公海池,公海池,F-084,公海池查询,系统根据筛选条件更新公海池线索列表,用户点击"查询"按钮,无,无,刷新公海池列表,无,有公海池权限的用户,无,
85,线索中心,公海池,公海池,F-085,公海池重置,系统恢复公海池筛选条件至默认值并重新加载,用户点击"重置"按钮,无,无,重置筛选条件并刷新公海池列表,无,有公海池权限的用户,无,
86,线索中心,公海池,公海池,F-086,公海池批量分配,系统支持对公海池中选中的多条线索批量分配负责人,用户选中一条或多条公海池线索后点击"批量分配"按钮,同线索列表分配规则,新负责人（必填）、分配备注（必填）,系统提示"成功分配X条线索",无,分配权限（assign）,线索列表,
87,线索中心,公海池,公海池,F-087,公海池刷新,系统重新加载公海池数据,用户点击"刷新"按钮,无,无,刷新公海池数据,无,有公海池权限的用户,无,
88,线索中心,公海池,公海池,F-088,公海池分配（单条）,系统支持对单条公海池线索分配负责人,用户点击线索行中的"分配"按钮,同批量分配规则，仅针对单条线索,新负责人（必填）、分配备注（必填）,线索分配成功,无,分配权限（assign）,线索列表,
89,线索中心,公海池,公海池,F-089,公海池查看详情,系统跳转至线索详情页（公海模式）,用户点击线索行中的"查看详情"按钮或点击行记录,公海模式下的线索详情仅可查看和分配，其它操作隐藏,无,跳转至线索详情页（公海模式）,无,有公海池权限的用户,线索详情,
90,线索中心,跟进日志,跟进日志,F-090,跟进日志页面展示,系统以列表形式展示授权范围内所有线索的跟进记录,用户从线索列表点击"跟进日志"按钮进入,展示所有线索的跟进记录列表,无,展示跟进日志列表,无,有线索列表权限的用户,无,
91,线索中心,跟进日志,跟进日志,F-091,跟进日志时间范围筛选,系统支持按时间范围筛选跟进日志,用户选择时间范围后点击查询,无,时间范围,筛选指定时间范围的跟进日志,无,有线索列表权限的用户,无,
92,线索中心,跟进日志,跟进日志,F-092,跟进日志跟进人筛选,系统支持按跟进人筛选跟进日志,用户从跟进人下拉列表中选择后点击查询,跟进人选项包括全部及所有业务员,跟进人,筛选指定跟进人的日志,无,有线索列表权限的用户,无,
93,线索中心,跟进日志,跟进日志,F-093,跟进日志关键词搜索,系统支持按线索编号或名称搜索跟进日志,用户输入关键词后点击查询,搜索范围为线索编号或名称,关键词,筛选匹配的跟进日志,无,有线索列表权限的用户,无,
94,线索中心,跟进日志,跟进日志,F-094,跟进日志方式筛选,系统支持按跟进方式筛选跟进日志,用户选择跟进方式后点击查询,方式选项：全部、电话、邮件、WhatsApp、会议、拜访、备注,跟进方式,筛选指定方式的跟进日志,无,有线索列表权限的用户,无,
95,线索中心,跟进日志,跟进日志,F-095,跟进日志查询,系统根据筛选条件更新跟进日志列表,用户点击"查询"按钮,无,无,刷新跟进日志列表,无,有线索列表权限的用户,无,
96,线索中心,跟进日志,跟进日志,F-096,跟进日志重置,系统恢复跟进日志筛选条件至默认值并重新加载,用户点击"重置"按钮,无,无,重置筛选条件并刷新列表,无,有线索列表权限的用户,无,
97,线索中心,跟进日志,跟进日志,F-097,跟进日志导出,系统创建跟进日志导出任务（预留功能）,用户点击"导出"按钮,本期导出为预留功能,无,系统提示"已创建跟进日志导出任务",无,导出权限（export）,无,
98,线索中心,跟进日志,跟进日志,F-098,跟进日志查看详情,系统展示单条跟进记录的详细内容,用户点击"详情"按钮,无,无,弹窗展示跟进内容详情,无,有线索列表权限的用户,无,
99,线索中心,跟进日志,跟进日志,F-099,返回线索列表,系统从跟进日志页面返回线索列表,用户点击"返回线索列表"按钮,无,无,跳转至线索列表,无,有线索列表权限的用户,线索列表,
100,线索中心,线索详情,线索详情,F-100,线索详情页面展示,系统展示单条线索的完整详细信息，包含基础信息、AI分析、关联对象等,用户从线索列表或公海池点击线索名称进入,1.公海模式（公海待分配状态）仅可查看和分配，其它操作隐藏；2.非公海模式支持完整操作,无,展示线索详情信息,线索不存在时展示"线索不存在"提示及返回按钮,有线索列表或公海池权限的用户,线索列表/公海池,
101,线索中心,线索详情,线索详情,F-101,线索详情分配,系统支持在公海线索详情页对线索进行分配,用户在公海线索详情页点击"分配"按钮,仅在线索状态为"公海待分配"时展示"分配"按钮,新负责人（必填）、分配备注（必填）,线索分配成功,无,分配权限（assign）,线索列表,
102,线索中心,线索详情,线索详情,F-102,线索详情录入跟进,系统支持在线索详情页录入跟进记录,用户在非公海线索详情页点击"录入跟进"按钮,仅非公海模式展示"录入跟进"按钮,跟进方式（必填）、当前阶段（必填）、下次跟进时间、跟进内容（必填）,保存跟进记录,无,跟进权限（follow）,无,
103,线索中心,线索详情,线索详情,F-103,线索详情编辑,系统支持在线索详情页编辑线索信息,用户点击"编辑"按钮,同线索列表编辑规则,线索编辑表单字段,系统提示"线索信息已更新",无,编辑权限（edit）,无,
104,线索中心,线索详情,线索详情,F-104,线索详情返回列表,系统从线索详情页返回对应的列表页,用户点击"返回列表"按钮,根据线索状态返回线索列表或公海池,无,返回对应列表页,无,有线索列表或公海池权限的用户,线索列表/公海池,
