序号,一级模块,二级模块,页面名称,功能编号,功能名称,功能描述,操作说明,业务规则,输入项,输出项,异常处理,权限要求,关联页面,备注
241,系统管理,系统日志,系统日志,F-241,登录日志-账号搜索,系统支持按登录账号模糊搜索登录日志,用户在登录日志Tab中输入账号后点击查询,仅适用于登录日志,登录账号,筛选匹配的登录日志,无,系统管理员权限,无,
242,系统管理,系统日志,系统日志,F-242,操作日志-操作人搜索,系统支持按操作人模糊搜索操作日志,用户在操作日志Tab中输入操作人后点击查询,仅适用于操作日志,操作人,筛选匹配的操作日志,无,系统管理员权限,无,
243,系统管理,系统日志,系统日志,F-243,日志结果/类型筛选,系统支持按登录结果或操作类型筛选日志,用户选择筛选条件后点击查询,1.登录日志按结果筛选（全部/成功/失败）；2.操作日志按类型筛选（全部/新增/编辑/配置）,结果/类型,筛选匹配的日志,无,系统管理员权限,无,
244,系统管理,系统日志,系统日志,F-244,日志查询,系统根据筛选条件更新日志列表,用户点击"查询"按钮,无,无,刷新日志列表,无,系统管理员权限,无,
245,系统管理,系统日志,系统日志,F-245,日志重置,系统恢复日志筛选条件至默认值并重新加载,用户点击"重置"按钮,无,无,重置筛选条件并刷新日志列表,无,系统管理员权限,无,
246,系统管理,系统日志,系统日志,F-246,日志导出,系统创建日志导出任务（预留功能）,用户点击"导出"按钮,本期导出为预留功能,无,系统提示"已创建日志导出任务",无,系统管理员权限,无,
247,系统管理,系统日志,系统日志,F-247,日志详情查看,系统展示单条日志的详细内容,用户点击日志行中的"详情"按钮,无,无,弹窗展示日志详情,无,系统管理员权限,无,
248,系统管理,系统参数,系统参数,F-248,系统参数页面展示,系统提供全局AI、业务规则、消息提醒与公共参数的配置界面,用户从左侧菜单进入系统参数页面,配置项按分组在Tab中展示,无,展示系统参数配置页面,无,系统管理员权限,无,
249,系统管理,系统参数,系统参数,F-249,AI能力配置Tab,系统支持配置AI服务商、模型、API Endpoint和AI增强能力开关,用户切换至"AI能力配置"Tab，修改后保存,包含本月用量展示（只读）,AI服务商、模型、API Endpoint、启用AI增强能力（开启/关闭）,系统提示"配置已保存",无,系统管理员权限,无,
250,系统管理,系统参数,系统参数,F-250,业务规则配置Tab,系统展示业务规则参数列表并支持编辑,用户切换至"业务规则配置"Tab，可查看和编辑各项业务规则参数,以表格形式展示规则名称、说明和当前配置值,参数编辑表单,系统提示"参数已更新",无,系统管理员权限,无,
251,系统管理,系统参数,系统参数,F-251,消息提醒规则Tab,系统展示消息提醒规则参数列表并支持编辑,用户切换至"消息提醒规则"Tab，可查看和编辑提醒规则参数,以表格形式展示规则名称、说明和当前配置值,参数编辑表单,系统提示"参数已更新",无,系统管理员权限,无,
252,系统管理,系统参数,系统参数,F-252,系统参数Tab,系统展示公共系统参数列表并支持编辑,用户切换至"系统参数"Tab，可查看和编辑公共参数,以表格形式展示参数名称、说明和当前配置值,参数编辑表单,系统提示"参数已更新",无,系统管理员权限,无,
253,系统管理,系统参数,系统参数,F-253,系统参数编辑,系统支持编辑单个系统参数的值,用户点击参数行中的"编辑"按钮,无,参数编辑表单,系统提示"参数已更新",无,系统管理员权限,无,
