序号,一级模块,二级模块,页面名称,功能编号,功能名称,功能描述,操作说明,业务规则,输入项,输出项,异常处理,权限要求,关联页面,备注
122,客户中心,客户列表,客户列表,F-122,客户刷新,系统重新加载客户列表数据,用户点击"刷新"按钮,无,无,刷新客户列表数据,无,有客户列表权限的用户,无,
123,客户中心,客户列表,客户列表,F-123,客户导出,系统创建客户导出任务（预留功能）,用户点击"导出客户"按钮,本期导出为预留功能,无,系统提示"已创建客户导出任务",无,导出权限（export）,无,
124,客户中心,客户列表,客户列表,F-124,客户多选,系统支持在客户列表中选择一个或多个客户,用户勾选客户前的复选框选择操作对象,选中项在工具栏显示"已选N项"提示,无,选中客户用于批量转交等操作,无,有客户列表权限的用户,无,
125,客户中心,客户列表,客户列表,F-125,客户名称查看详情,系统跳转至客户详情页,用户点击客户行中的"详情"按钮,无,无,跳转至客户详情页,无,有客户列表权限的用户,客户详情,
126,客户中心,客户列表,客户列表,F-126,客户线索记录查看,系统跳转至该客户关联的线索列表,用户点击"线索记录"按钮,筛选条件自动带入客户ID,无,跳转至线索列表（按客户过滤）,无,有客户列表权限的用户,线索列表,
127,客户中心,客户列表,客户列表,F-127,客户AI画像查看,系统弹窗展示客户AI智能画像,用户点击"AI画像"按钮,AI画像包含公司简介、主营业务、企业规模、目标市场、风险信息,无,弹窗展示AI客户画像,无,有客户列表权限的用户,无,
128,客户中心,客户列表,客户列表,F-128,客户更多操作-编辑联系人,系统支持编辑客户的联系人信息,用户在更多操作菜单中点击"编辑联系人",无,联系人编辑表单,系统提示"联系人信息已更新",无,编辑权限（edit）,无,
129,客户中心,客户详情,客户详情,F-129,客户详情页面展示,系统展示单个客户的完整信息，包含客户信息、线索记录、联系人、合作合同、AI客户画像,用户从客户列表点击客户名称或"详情"按钮进入,客户不存在时展示"客户不存在"提示及返回按钮,无,展示客户详情信息,客户不存在时提示"客户不存在"并引导返回,有客户列表权限的用户,客户列表,
130,客户中心,客户详情,客户详情,F-130,客户详情编辑联系人,系统支持在客户详情页编辑联系人信息,用户点击"编辑联系人"按钮,同客户列表编辑联系人规则,联系人编辑表单,系统提示"联系人信息已更新",无,编辑权限（edit）,无,
131,客户中心,客户详情,客户详情,F-131,客户详情新增合同,系统支持在客户详情页为该客户新增合同,用户点击"新增合同"按钮，弹出合同新增窗口,1.合同必须关联客户；2.关联线索为非必填；3.合同负责人归属规则：若合同关联线索则优先取线索负责人，否则取客户当前负责人，客户负责人为空则取合同录入人,合同信息表单（含合同编号、合同名称、金额、签约日期、状态等）,系统提示"合同录入成功",无,新增合同权限（create-contract）,合同中心,
132,客户中心,客户详情,客户详情,F-132,客户详情返回列表,系统从客户详情页返回客户列表,用户点击"返回列表"按钮,无,无,返回客户列表,无,有客户列表权限的用户,客户列表,
133,客户中心,客户详情,客户详情,F-133,客户详情指标卡,系统展示客户的关联线索数、合作合同数、累计金额和客户状态,在客户详情页顶部展示,1.金额口径为人民币；2.历史合同保留,无,展示指标卡信息,无,有客户列表权限的用户,无,
134,客户中心,客户详情,客户详情,F-134,客户信息Tab,系统展示客户的基础信息：公司名称、国家/地区、行业、官网、所属站点、创建时间、客户标签,用户在线索详情页切换至"客户信息"Tab,无,无,展示客户基础信息,无,有客户列表权限的用户,无,
135,客户中心,客户详情,客户详情,F-135,线索记录Tab（客户内）,系统展示该客户关联的所有线索列表,用户在线索详情页切换至"线索记录"Tab,仅展示关联到当前客户的线索,无,展示关联线索列表,无,有客户列表权限的用户,线索列表,
136,客户中心,客户详情,客户详情,F-136,联系人Tab,系统展示该客户的企业联系人列表,用户在线索详情页切换至"联系人"Tab,联系人为该客户企业下的联系人,无,展示联系人列表,无,有客户列表权限的用户,无,
137,客户中心,客户详情,客户详情,F-137,合作合同Tab,系统展示该客户的所有合作合同列表,用户在线索详情页切换至"合作合同"Tab,仅展示关联到当前客户的合同,无,展示合同列表,无,有客户列表权限的用户,合同中心,
138,客户中心,客户详情,客户详情,F-138,AI客户画像Tab,系统展示AI对该客户的智能画像分析,用户在线索详情页切换至"AI客户画像"Tab,AI画像包含：公司简介、主营业务、企业规模、目标市场、风险信息,无,展示AI客户画像信息,无,有客户列表权限的用户,无,
139,客户中心,客户详情,客户详情,F-139,联系人编辑,系统支持编辑客户下联系人的信息,用户在联系人列表行中点击"编辑"按钮,编辑联系人信息后保存,联系人编辑表单,系统提示"联系人信息已更新",无,编辑权限（edit）,无,
140,客户中心,客户详情,客户详情,F-140,联系人删除,系统支持删除客户下的联系人,用户点击"删除"按钮并确认,删除需二次确认，确认后执行删除操作,无,确认删除弹窗，确认后联系人被删除,无,编辑权限（edit）,无,
141,客户中心,合同中心,合同中心,F-141,合同中心页面展示,系统以表格形式展示所有销售合同列表,用户从左侧菜单进入合同中心页面,1.展示合同编号、合同名称、客户、金额、签约日期、合同状态、负责人等字段；2.金额口径统一为人民币,无,展示合同列表表格,无,有合同中心权限的用户,无,
142,客户中心,合同中心,合同中心,F-142,合同编号搜索,系统支持按合同编号搜索,用户输入合同编号后点击查询,无,合同编号,筛选匹配的合同,无,有合同中心权限的用户,无,
143,客户中心,合同中心,合同中心,F-143,合同客户名称搜索,系统支持按客户名称搜索合同,用户输入客户名称后点击查询,无,客户名称,筛选匹配的合同,无,有合同中心权限的用户,无,
144,客户中心,合同中心,合同中心,F-144,合同签约日期筛选,系统支持按签约日期范围筛选合同,用户选择时间范围后点击查询,无,时间范围,筛选指定签约日期的合同,无,有合同中心权限的用户,无,
145,客户中心,合同中心,合同中心,F-145,合同状态筛选,系统支持按合同状态筛选,用户选择状态后点击查询,状态选项：全部、已签约、执行中、已完成、已终止、已作废,状态,筛选指定状态的合同,无,有合同中心权限的用户,无,
146,客户中心,合同中心,合同中心,F-146,合同负责人筛选,系统支持按负责人筛选合同,用户选择负责人后点击查询,负责人选项包括全部及所有业务员,负责人,筛选指定负责人的合同,无,有合同中心权限的用户,无,
147,客户中心,合同中心,合同中心,F-147,合同查询,系统根据筛选条件更新合同列表,用户点击"查询"按钮,无,无,刷新合同列表,无,有合同中心权限的用户,无,
148,客户中心,合同中心,合同中心,F-148,合同重置,系统恢复合同筛选条件至默认值并重新加载,用户点击"重置"按钮,无,无,重置筛选条件并刷新合同列表,无,有合同中心权限的用户,无,
149,客户中心,合同中心,合同中心,F-149,新增合同（全局）,系统支持用户新增合同记录,用户点击"新增合同"按钮，填写合同信息后保存,1.合同必须关联客户；2.关联线索为非必填；3.合同负责人归属规则：若关联线索则优先取线索负责人，否则取客户当前负责人，客户负责人为空则取合同录入人,合同编号、合同名称、客户（必填）、关联线索、金额（必填）、签约日期（必填）、合同状态（必填）,系统提示"合同录入成功"并刷新列表,无,新增合同权限（create-contract）,客户详情,
150,客户中心,合同中心,合同中心,F-150,合同刷新,系统重新加载合同列表数据,用户点击"刷新"按钮,无,无,刷新合同列表数据,无,有合同中心权限的用户,无,
151,客户中心,合同中心,合同中心,F-151,合同导出,系统创建合同导出任务（预留功能）,用户点击"导出合同"按钮,本期导出为预留功能,无,系统提示"已创建合同导出任务",无,导出权限（export）,无,
152,客户中心,合同中心,合同中心,F-152,合同详情查看,系统跳转至合同详情页,用户点击"详情"按钮,无,无,跳转至合同详情页,无,有合同中心权限的用户,合同详情,
153,客户中心,合同中心,合同中心,F-153,合同编辑金额,系统支持编辑非终态合同的金额信息,用户点击"编辑金额"按钮,仅状态为非终态（已完成/已终止/已作废）的合同可编辑,金额字段,系统提示"合同信息已更新",无,编辑权限（edit）,无,
154,客户中心,合同中心,合同中心,F-154,合同编辑,系统支持编辑非终态合同的信息,用户点击"编辑"按钮,仅非终态合同可编辑,合同编辑表单,系统提示"合同信息已更新",无,编辑权限（edit）,无,
155,客户中心,合同中心,合同中心,F-155,合同状态变更,系统支持对非终态合同执行作废或终止操作,用户在更多操作中确认状态变更,1.仅非终态合同可操作；2.状态变更需二次确认；3.历史数据保留,无,确认弹窗，确认后执行状态变更,无,编辑权限（edit）,无,
156,客户中心,合同详情,合同详情,F-156,合同详情页面展示,系统展示单个合同的完整信息，包含合同基本信息、操作记录,用户从合同中心点击合同名称或"详情"按钮进入,1.终态合同（已完成/已终止/已作废）为只读状态；2.合同不存在时展示提示信息,无,展示合同详情信息,合同不存在时提示"合同不存在"并引导返回,有合同中心权限的用户,合同中心,
157,客户中心,合同详情,合同详情,F-157,合同详情编辑,系统支持在合同详情页编辑非终态合同,用户点击"编辑"按钮,仅非终态合同可编辑,合同编辑表单,系统提示"合同信息已更新",无,编辑权限（edit）,无,
158,客户中心,合同详情,合同详情,F-158,合同详情返回,系统从合同详情页返回合同中心,用户点击"返回合同中心"按钮,无,无,返回合同中心页面,无,有合同中心权限的用户,合同中心,
159,客户中心,合同详情,合同详情,F-159,合同详情指标卡,系统展示合同的金额、状态、负责人和签约日期,在合同详情页顶部展示,1.金额口径为人民币；2.终态合同仅可查看,无,展示指标卡信息,无,有合同中心权限的用户,无,
160,客户中心,合同详情,合同详情,F-160,合同基本信息区,系统展示合同的客户、关联线索、创建时间、合同名称等基本信息,在合同详情页展示,1.关联客户支持点击跳转至客户详情页；2.关联线索支持点击跳转至线索详情页,无,展示合同基本信息,无,有合同中心权限的用户,客户详情/线索详情,
161,客户中心,合同详情,合同详情,F-161,合同操作记录区,系统展示与合同相关的跟进记录,在合同详情页展示,展示关联线索的跟进记录,无,展示跟进记录列表,无,有合同中心权限的用户,无,
